arm,n,n_qids,on_studied_population,em_mean,f1_mean,context_chars_median,n_gold_kept_mean,pred_no_rate
loo_oracle,4110,274,true,0.406083,0.53711,1490.5,1.388078,0.151095
full,4110,274,true,0.330657,0.473085,5291.5,2,0.023358
provence_rerank,4110,274,true,0.313382,0.452268,1404.5,1.663017,0.083698
rerank_topk,4110,274,true,0.29854,0.427033,1381.5,1.591241,0.113625
provence_full,4110,274,true,0.291484,0.413571,332.0,1.663017,0.140633
llm_pruner,4110,274,true,0.26983,0.388158,1489.0,1.39781,0.149392
placebo_pos:middle_first,4110,274,true,0.143796,0.204452,1594.5,0.715328,0.425791
placebo_pos:edges_first,4110,274,true,0.142579,0.199333,1637.0,0.652068,0.414842
random_drop,4110,274,true,0.13382,0.193227,1610.5,0.66545,0.441849
placebo_pos:tail_first,4110,274,true,0.13601,0.19274,1573.0,0.622871,0.462044
llmlingua2,4110,274,true,0.060827,0.096976,1643.0,2,0.419951
nocontext,300,300,false,0.086667,0.094791,0.0,0,0.37
nocontext@studied,274,274,true,0.0,0.008895,0.0,0.0,0.364964
