qid,hop_type,n_perm,mean_f1,sd_f1,min_f1,max_f1,range_f1
5a70f11a5542994082a3e40b,comparison,5,0.2000,0.4472,0.0000,1.0000,1.0000
5a72d3525542991f9a20c5ab,bridge,5,1.0000,0.0000,1.0000,1.0000,0.0000
5a72df275542992359bc31b3,bridge,5,0.1527,0.2095,0.0000,0.4000,0.4000
5a7337715542991f9a20c690,bridge,5,0.6000,0.5477,0.0000,1.0000,1.0000
5a73984355429908901be307,bridge,5,1.0000,0.0000,1.0000,1.0000,0.0000
5a74167455429929fddd83dc,bridge,5,0.2000,0.4472,0.0000,1.0000,1.0000
5a74994a55429974ef308c2e,bridge,5,1.0000,0.0000,1.0000,1.0000,0.0000
5a75462d5542996c70cfaed3,bridge,5,0.0000,0.0000,0.0000,0.0000,0.0000
5a75495a5542996c70cfaed8,bridge,5,0.8000,0.0000,0.8000,0.8000,0.0000
5a7636fb55429976ec32bd79,bridge,5,0.5333,0.5055,0.0000,1.0000,1.0000
5a777ca855429949eeb29e6a,comparison,5,0.5410,0.3132,0.0000,0.8000,0.8000
5a78ce79554299029c4b5ea1,bridge,5,0.1812,0.1322,0.0000,0.3333,0.3333
5a78d38455429970f5fffd94,bridge,5,0.0000,0.0000,0.0000,0.0000,0.0000
5a7a05485542990198eaf04c,bridge,5,0.5833,0.1863,0.2500,0.6667,0.4167
5a7b24fe55429931da12c9f7,comparison,5,0.6000,0.5477,0.0000,1.0000,1.0000
5a7c6e435542996dd594b933,bridge,5,0.1000,0.2236,0.0000,0.5000,0.5000
5a7c703055429935c91b51aa,bridge,5,0.8571,0.0000,0.8571,0.8571,0.0000
5a7c99d555429935c91b5254,comparison,5,0.0000,0.0000,0.0000,0.0000,0.0000
5a7dbc175542995ed0d1666b,bridge,5,0.6400,0.3578,0.0000,0.8000,0.8000
5a7dedef5542995f4f40231a,bridge,5,0.1600,0.2191,0.0000,0.4000,0.4000
5a7f677455429969796c1a37,comparison,5,0.6000,0.5477,0.0000,1.0000,1.0000
5a80c74f554299260e20a158,bridge,5,0.2327,0.1698,0.0000,0.4000,0.4000
5a81418455429903bc27b95f,bridge,5,0.4000,0.2236,0.0000,0.5000,0.5000
5a82028a554299676cceb1d6,bridge,5,0.0235,0.0526,0.0000,0.1176,0.1176
5a82e25555429954d2e2ebbf,bridge,5,0.0000,0.0000,0.0000,0.0000,0.0000
5a8341c255429954d2e2ec6e,bridge,5,0.5333,0.2981,0.0000,0.6667,0.6667
5a83d7535542993344746093,bridge,5,0.0000,0.0000,0.0000,0.0000,0.0000
5a84800f554299123d8c2276,bridge,5,0.0000,0.0000,0.0000,0.0000,0.0000
5a84973e5542992a431d1a67,bridge,5,1.0000,0.0000,1.0000,1.0000,0.0000
5a84c4135542994c784dda31,comparison,5,1.0000,0.0000,1.0000,1.0000,0.0000
5a85c41a5542994c784ddb7a,bridge,5,0.6000,0.5477,0.0000,1.0000,1.0000
5a86ed6155429960ec39b6d9,bridge,5,0.2000,0.4472,0.0000,1.0000,1.0000
5a872c3f5542994775f607a8,comparison,5,1.0000,0.0000,1.0000,1.0000,0.0000
5a87ef2f55429938390d3eb9,comparison,5,0.6000,0.5477,0.0000,1.0000,1.0000
5a89007355429938390d4026,bridge,5,0.2000,0.4472,0.0000,1.0000,1.0000
5a8a40015542996c9b8d5e72,bridge,5,0.4000,0.5477,0.0000,1.0000,1.0000
5a8c2d23554299240d9c20b7,bridge,5,1.0000,0.0000,1.0000,1.0000,0.0000
5a8e4b7c5542990e94052ab7,bridge,5,0.6000,0.5477,0.0000,1.0000,1.0000
5a8edb5c55429917b4a5bde9,bridge,5,0.6667,0.0000,0.6667,0.6667,0.0000
5a8f5273554299458435d5b1,bridge,5,1.0000,0.0000,1.0000,1.0000,0.0000
5a9052765542995651fb513d,comparison,5,0.8000,0.0000,0.8000,0.8000,0.0000
5a90843c5542995651fb517e,bridge,5,1.0000,0.0000,1.0000,1.0000,0.0000
